day,code,block,return_pct,close_return,newhigh_vol_ratio,gap_pct
2024-01-02,301327,高送转预期,0.97,0.81,1.8287694797214915,-0.47074646940147186
2024-01-03,001314,增强现实,-0.52,0.02,1.333073307715174,-0.22716209638163326
2024-01-03,002475,出海,0.61,-0.52,1.6770799148807245,-0.21426385062748785
2024-01-03,002635,传感器,0.13,0.32,1.3625613914936974,-0.5798969072164939
2024-01-03,300449,增强现实,-0.3,-0.6,1.1065156168817734,-0.30030030030030724
2024-01-03,300691,增强现实,-2.27,-1.85,1.2937312694208754,-0.04629629629630353
2024-01-03,300793,增强现实,0.8,-1.13,1.2826088977523684,-1.8163966617574911
2024-01-03,301396,增强现实,-2.3,-2.65,1.675589797032371,-0.3870967741935516
2024-01-03,688286,传感器,4.82,3.8,1.712782206141288,-0.3741231488698505
2024-01-03,688400,增强现实,-3.9,-3.21,1.359348927955814,0.0
2024-01-03,688685,传感器,2.06,1.36,1.0634351128677184,-0.8228980322003593
2024-01-04,000697,出海,-4.05,-4.49,1.5640286576712144,-0.29940119760478406
2024-01-04,002925,出海,-2.06,-2.06,0.9975239330062613,0.0
2024-01-04,002972,传感器,-4.16,-3.99,1.9931600058796164,-0.39123630672925613
2024-01-04,301309,出海,-2.18,-1.39,0.9799734379191342,0.0
2024-01-04,301396,增强现实,-2.19,-1.46,0.6630807395165068,-0.03313452617626909
2024-01-04,600590,江西,-2.73,-3.17,1.1086591096994294,-0.4524886877828092
2024-01-04,601058,出海,0.35,0.78,0.9596437380158693,0.0
2024-01-04,688001,智能音箱,-1.71,-1.76,0.6315280110243775,-0.6297229219143666
2024-01-04,688400,增强现实,-1.87,-2.57,0.6153913235781221,-0.7117437722419918
2024-01-08,000528,出海,1.96,2.26,1.4436382865131354,-0.15037593984963418
2024-01-08,000883,核电,0.46,0.0,0.8705859988385322,-0.22935779816515306
2024-01-08,002498,核电,-0.25,-0.25,0.9633709919961866,-0.5063291139240511
2024-01-08,600508,超超临界发电,1.46,1.59,0.9483267823858191,-0.4146510020732584
2024-01-08,600654,传感器,0.0,0.0,1.5488208807713213,0.0
2024-01-08,603699,核电,1.21,1.21,1.1055331729283837,-0.07097232079488848
2024-01-09,000777,核电,0.14,-0.07,1.4289512017611243,-0.275482093663906
2024-01-09,002053,超超临界发电,-1.54,-0.72,1.659042859292762,-0.10277492291880562
2024-01-09,600282,核电,-0.27,-0.27,1.1182010973833598,-0.2702702702702765
2024-01-10,605365,传感器,17.11,10.0,1.1339311011329267,-0.9500000000000064
2024-01-12,300126,创业板重组松绑,2.02,0.28,1.5050640144106082,-1.5647226173542008
2024-01-16,300673,出海,-3.82,-4.54,1.3481472768315135,-1.0323468685478223
2024-01-16,300979,出海,-1.53,-1.18,1.7253773050688168,-0.2863688430698848
2024-01-17,003013,一带一路,0.28,-0.39,1.2004638069981306,-0.27639579878386245
2024-01-17,600153,一带一路,-1.83,-1.62,1.6833884334202,-0.20304568527918349
2024-01-17,600824,养老产业,-6.2,-5.42,1.309480738911632,-0.7389162561576198
2024-01-17,601808,一带一路,-1.08,-1.08,1.139383977985908,-0.27045300878971706
2024-01-18,002742,一带一路,3.69,3.69,1.0998349182279483,0.0
2024-01-19,002162,养老产业,-8.09,-7.61,0.8521528406644107,-0.4474272930648674
2024-01-19,600015,证金汇金,-1.72,-1.55,0.7210764752320984,0.0
2024-01-19,601179,一带一路,-3.8,-3.98,0.9166647673494933,-0.39840637450198363
2024-01-19,601598,一带一路,-5.64,-5.05,1.4842317761671844,-0.1941747572815665
2024-01-19,601808,一带一路,-3.92,-3.84,1.504348057242526,-0.13726835964309933
2024-01-19,603298,一带一路,-5.0,-4.51,1.093960327542747,-0.7317073170731696
2024-01-19,603556,一带一路,-2.76,-2.99,1.8055554394698052,-0.5614472863381262
2024-01-19,603699,一带一路,-5.56,-5.76,1.057622984736237,-0.2808988764045009
2024-01-19,603871,一带一路,-3.87,-3.54,1.368380007259623,-0.214592274678107
2024-01-22,000158,数据安全,0.84,0.24,1.5065256926928696,-0.5959475566150263
2024-01-22,601225,证金汇金,1.87,1.29,1.5039991638412802,-0.5762411347517686
2024-01-23,000521,一带一路,10.72,5.5,1.3443933836352246,-0.15290519877675515
2024-01-23,301193,一带一路,2.37,2.67,0.85694267682414,-0.20533880903490323
2024-01-23,600439,一带一路,6.4,5.93,1.4997760149026973,-1.1857707509881346
2024-01-26,600095,创投,-6.37,-5.42,1.5712077717386597,-0.7741935483870918
2024-01-29,000039,一带一路,-4.5,-2.66,1.7669757305059486,-0.36319612590798256
2024-01-29,601179,一带一路,-2.49,-2.1,1.7962690837741622,-0.5714285714285762
2024-01-30,000039,一带一路,1.27,-0.62,0.8883154340440498,-2.2388059701492393
2024-01-30,000812,创投,-13.24,-9.96,1.0236056863883403,-0.19157088122604957
2024-01-30,001308,一带一路,3.14,3.53,1.729815600913232,-1.781076066790354
2024-01-30,002178,华为鸿蒙,-4.92,-6.81,1.0516054089488152,-2.7624309392265096
2024-01-30,002564,一带一路,-5.75,-5.11,1.2201902462315593,-2.6763990267639977
2024-01-30,002948,一带一路,-0.63,-0.94,1.9833869998700346,-0.6269592476489034
2024-01-30,300736,电子商务,-2.4,0.0,0.8764188881977425,-0.6917755572636423
2024-01-30,600020,创投,-2.19,-2.96,1.6001866885433271,-1.6129032258064528
2024-01-30,600089,一带一路,-1.27,-1.33,0.8929701379549329,-0.2808988764045009
2024-01-30,600153,一带一路,-2.91,-4.93,0.8444568077292725,-1.773399014778322
2024-01-30,600502,一带一路,-2.71,-2.9,0.8136776434757146,-0.4149377593361091
2024-01-30,600575,一带一路,-2.08,-2.07,1.033501347995689,-0.4149377593361091
2024-01-30,601107,创投,-1.13,-0.45,0.963706114086496,-0.2252252252252404
2024-01-30,603993,一带一路,-1.11,-1.1,1.3638948243876716,-0.5524861878452921
2024-01-31,000025,电子商务,-7.26,-10.0,1.0641191149111044,-7.647058823529417
2024-01-31,000338,一带一路,1.9,1.76,0.9862514876552703,0.0
2024-01-31,000423,电子商务,1.54,-0.02,1.763144819449689,-0.9712435726528242
2024-01-31,001213,一带一路,-1.0,-2.44,1.6796337096288332,-1.9559902200489014
2024-01-31,002948,一带一路,-0.63,-1.27,1.0019743886644306,-0.31645569620253894
2024-01-31,600177,电子商务,0.15,-0.74,1.3364198261702815,-0.8902077151335385
2024-01-31,600248,一带一路,-1.3,-1.54,1.4987516483627537,-0.7712082262210861
2024-01-31,600428,一带一路,0.99,-0.59,1.1165098151622375,-0.9765624999999966
2024-01-31,600502,一带一路,-2.36,-2.56,0.9635838821266275,-0.21367521367520914
2024-01-31,600528,一带一路,-3.38,-4.03,1.6441167607322769,-0.8053691275167852
2024-01-31,600820,一带一路,-1.87,-2.69,1.1378350239908743,-1.0101010101010184
2024-01-31,600887,电子商务,0.37,-0.48,1.2151416235586399,0.0
2024-01-31,600928,一带一路,-1.19,-2.06,0.673371032172589,-0.8823529411764649
2024-01-31,601018,一带一路,-0.28,-1.12,1.1882971016731758,-1.1173184357541908
2024-01-31,601117,一带一路,-2.52,-3.28,1.2974914732470628,-0.7812500000000111
2024-01-31,601326,一带一路,-1.37,-1.7,1.0802003460849665,-0.680272108843538
2024-01-31,601766,一带一路,-0.53,-1.05,1.6628468903294655,-0.35149384885765306
2024-01-31,601866,一带一路,-1.29,-2.13,0.8586590364181076,-0.8510638297872347
2024-01-31,601868,一带一路,-0.95,-0.95,1.373519660317345,0.0
2024-01-31,601872,一带一路,-1.7,-2.45,0.7031256243766861,-0.7656967840735042
2024-01-31,601888,一带一路,1.3,1.43,1.1979817154395875,-0.5262498433780249
2024-01-31,603323,数字货币,-0.7,-0.23,1.0055629746240675,0.0
2024-01-31,688569,一带一路,-3.64,-4.51,1.780205910231454,0.0
2024-02-02,000617,数字人民币,-6.53,-7.26,1.0165457270927931,-2.4778761061947003
